"Value of S","Average Key Comparisons"
"151","3471390.5700000003"
"152","3471390.5700000003"
"153","3471390.5700000003"
"154","3471390.5700000003"
"155","3471390.5700000003"
"156","3471390.5700000003"
"157","3471390.5700000003"
"158","3471390.5700000003"
"159","3471390.5700000003"
"160","3471390.5700000003"
"161","3471390.5700000003"
"162","3471390.5700000003"
"163","3471390.5700000003"
"164","3471390.5700000003"
"165","3471390.5700000003"
"166","3471390.5700000003"
"167","3471390.5700000003"
"168","3471390.5700000003"
"169","3471390.5700000003"
"170","3471390.5700000003"
"171","3471390.5700000003"
"172","3471390.5700000003"
"173","3471390.5700000003"
"174","3471390.5700000003"
"175","3471390.5700000003"
"176","3471390.5700000003"
"177","3471390.5700000003"
"178","3471390.5700000003"
"179","3471390.5700000003"
"180","3471390.5700000003"
"181","3471390.5700000003"
"182","3471390.5700000003"
"183","3471390.5700000003"
"184","3471390.5700000003"
"185","3471390.5700000003"
"186","3471390.5700000003"
"187","3471390.5700000003"
"188","3471390.5700000003"
"189","3471390.5700000003"
"190","3471390.5700000003"
"191","3471390.5700000003"
"192","3471390.5700000003"
"193","3471390.5700000003"
"194","5077848.939999999"
"195","5815373.380000003"
"196","5815373.380000003"
"197","5815373.380000003"
"198","5815373.380000003"
"199","5815373.380000003"
"200","5815373.380000003"
"201","5815373.380000003"
"202","5815373.380000003"
"203","5815373.380000003"
"204","5815373.380000003"
"205","5815373.380000003"
"206","5815373.380000003"
"207","5815373.380000003"
"208","5815373.380000003"
"209","5815373.380000003"
"210","5815373.380000003"
"211","5815373.380000003"
"212","5815373.380000003"
"213","5815373.380000003"
"214","5815373.380000003"
"215","5815373.380000003"
"216","5815373.380000003"
"217","5815373.380000003"
"218","5815373.380000003"
"219","5815373.380000003"
"220","5815373.380000003"
"221","5815373.380000003"
"222","5815373.380000003"
"223","5815373.380000003"
"224","5815373.380000003"
"225","5815373.380000003"
"226","5815373.380000003"
"227","5815373.380000003"
"228","5815373.380000003"
"229","5815373.380000003"
"230","5815373.380000003"
"231","5815373.380000003"
"232","5815373.380000003"
"233","5815373.380000003"
"234","5815373.380000003"
"235","5815373.380000003"
"236","5815373.380000003"
"237","5815373.380000003"
"238","5815373.380000003"
"239","5815373.380000003"
"240","5815373.380000003"
"241","5815373.380000003"
"242","5815373.380000003"
"243","5815373.380000003"
"244","5815373.380000003"
"245","5815373.380000003"
"246","5815373.380000003"
"247","5815373.380000003"
"248","5815373.380000003"
"249","5815373.380000003"
